date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:20	10136/10136	---M--	200	added ('OK')	image/jpeg	etag:%224c00177-2798-5e4378ca596ac%22	https://www.uniqueskill.in/images/l6.jpg	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/l6.jpg	(from https://www.uniqueskill.in/)
20:27:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Jul%202022%2014:57:20%20GMT	https://www.uniqueskill.in/blog-singel.html	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/blog-singel.html	(from https://www.uniqueskill.in/)
20:27:22	676412/676412	---M--	200	added ('OK')	image/png	etag:%224c00140-a523c-5e4378bd2dffe%22	https://www.uniqueskill.in/images/course11.png	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/images/course11.png	(from https://www.uniqueskill.in/)
20:27:22	8636/8636	---M-Z	200	added ('OK')	application/javascript	etag:%224c0024d-21bc-5e437909c2f47-gzip%22	https://www.uniqueskill.in/js/vendor/modernizr-3.6.0.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/vendor/modernizr-3.6.0.min.js	(from https://www.uniqueskill.in/)
20:27:23	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%224c0024b-17b8b-5e43790985eb1-gzip%22	https://www.uniqueskill.in/js/vendor/jquery-1.12.4.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/vendor/jquery-1.12.4.min.js	(from https://www.uniqueskill.in/)
20:27:23	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:%224c001be-c75f-5e4378e2aa6af-gzip%22	https://www.uniqueskill.in/js/bootstrap.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/bootstrap.min.js	(from https://www.uniqueskill.in/)
20:27:23	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%224c001c5-a76f-5e4378e39b256-gzip%22	https://www.uniqueskill.in/js/slick.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/slick.min.js	(from https://www.uniqueskill.in/)
20:27:24	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224c001c0-4ef8-5e4378e2ec17d-gzip%22	https://www.uniqueskill.in/js/jquery.magnific-popup.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/jquery.magnific-popup.min.js	(from https://www.uniqueskill.in/)
20:27:25	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:%224c001c7-1f6c-5e4378e3d82ec-gzip%22	https://www.uniqueskill.in/js/waypoints.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/waypoints.min.js	(from https://www.uniqueskill.in/)
20:27:26	1067/1067	---M-Z	200	added ('OK')	application/javascript	etag:%224c001bf-42b-5e4378e2a21de-gzip%22	https://www.uniqueskill.in/js/jquery.counterup.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/jquery.counterup.min.js	(from https://www.uniqueskill.in/)
20:27:27	2942/2942	---M-Z	200	added ('OK')	application/javascript	etag:%224c001c2-b7e-5e4378e323452-gzip%22	https://www.uniqueskill.in/js/jquery.nice-select.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/jquery.nice-select.min.js	(from https://www.uniqueskill.in/)
20:27:28	1508/1508	---M-Z	200	added ('OK')	application/javascript	etag:%224c001c1-5e4-5e4378e2f9856-gzip%22	https://www.uniqueskill.in/js/jquery.nice-number.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/jquery.nice-number.min.js	(from https://www.uniqueskill.in/)
20:27:29	5369/5369	---M-Z	200	added ('OK')	application/javascript	etag:%224c001bd-14f9-5e4378e277a2a-gzip%22	https://www.uniqueskill.in/js/jquery.countdown.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/jquery.countdown.min.js	(from https://www.uniqueskill.in/)
20:27:30	7729/7729	---M-Z	200	added ('OK')	application/javascript	etag:%224c001c6-1e31-5e4378e3b0e00-gzip%22	https://www.uniqueskill.in/js/validator.min.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/validator.min.js	(from https://www.uniqueskill.in/)
20:27:30	17515665/17515665	---M--	200	added ('OK')	application/pdf	etag:%224c003a5-10b4491-5e4634e04a77f%22	https://www.uniqueskill.in/pdf/USDC_Kushal_Magazine1.pdf	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/pdf/USDC_Kushal_Magazine1.pdf	(from https://www.uniqueskill.in/)
20:27:30	1201/1201	---M-Z	200	added ('OK')	application/javascript	etag:%224c001bc-4b1-5e4378e228882-gzip%22	https://www.uniqueskill.in/js/ajax-contact.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/ajax-contact.js	(from https://www.uniqueskill.in/)
20:27:31	11371/11371	---M-Z	200	added ('OK')	application/javascript	etag:%224c001c3-2c6b-5e4378e355cef-gzip%22	https://www.uniqueskill.in/js/main.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/main.js	(from https://www.uniqueskill.in/)
20:27:32	2954/2954	---M-Z	200	added ('OK')	application/javascript	etag:%224c001c4-b8a-5e4378e3610a0-gzip%22	https://www.uniqueskill.in/js/map-script.js	C:/Users/Mayank/Desktop/skill/www.uniqueskill.in/js/map-script.js	(from https://www.uniqueskill.in/)
20:27:33	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Jul%202022%2014:57:33%20GMT	https://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/Users/Mayank/Desktop/skill/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.57.delayed	(from https://www.uniqueskill.in/)
20:27:33	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Jul%202022%2014:57:33%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/Users/Mayank/Desktop/skill/img1.wsimg.com/traffic-assets/js/tccl.min.js	(from https://www.uniqueskill.in/)
